"","Gene","avg_fold_changes"
"743","hsa-mir-5687",1.68394847327987
"744","COCH",1.68180141324493
"745","HIST1H4D",1.68026643086508
"746","GOLGA4",1.67971115567842
"747","AGPAT5",1.67004901606778
"748","CHAC1",1.6674443550012
"749","ZNF524",1.66715847400654
"750","TTLL2",1.66371898632862
"751","NDST3",1.64980460905115
"752","SHROOM3",1.64548723714157
"753","C16orf86",1.64298882004449
"754","USP6",1.64174516020162
"755","MPP1",1.63835608749597
"756","hsa-mir-4999",1.63781887188397
"757","PROP1",1.63446459910164
"758","LIN7C",1.63096386593102
"759","FAF1",1.62908642226929
"760","hsa-mir-4458",1.6289969036949
"761","OR6S1",1.61821974462948
"762","EFCAB4A",1.60394486217701
"763","SLAMF7",1.60025353017082
"764","hsa-mir-4538",1.59751640891529
"765","OR2C3",1.5974405255068
"766","TMEM109",1.58920089429318
"767","TMEM154",1.58801772316845
"768","NUDT7",1.58778182253835
"769","SP140L",1.58222695364019
"770","ELOVL6",1.58216225506476
"771","PCDHA5",1.57975866680577
"772","ISY1",1.57388875449918
"773","C2CD2",1.56792201523244
"774","FAM115A",1.56627573703983
"775","DDAH1",1.56424284826457
"776","hsa-mir-302c",1.56342917661746
"777","NRK",1.55930157281447
"778","SEH1L",1.55835951887038
"779","SSX5",1.55787559783803
"780","CPED1",1.55486276638029
"781","KIAA1704",1.55128326492414
"782","OPA3",1.55017347772806
"783","SFXN4",1.54820001934148
"784","RWDD2B",1.54327683574498
"785","ZMAT5",1.54074819833526
"786","KIAA0825",1.53928276507926
"787","OR51A7",1.53909040558359
"788","C2orf16",1.53494331177269
"789","ZRANB3",1.5324989365884
"790","TEX13A",1.52886909435609
"791","hsa-mir-1246",1.52798743157076
"792","PNLIPRP1",1.52680945402683
"793","TRAPPC2L",1.52556072762195
"794","POLR2D",1.52089493293509
"795","FOXD4L5",1.52019736308762
"796","ZFP37",1.51900242797598
"797","MROH8",1.51381753325988
"798","C12orf77",1.51349181711597
"799","hsa-mir-3199-1",1.51209545082426
"800","ZMAT4",1.51110354871726
"801","ZDHHC2",1.50899882432299
"802","CARD10",1.50579578320581
"803","C16orf96",1.50409900651555
"804","BTRC",1.50248196937107
"805","OR5AR1",1.49315845850801
